,1-Core Naïve MC_NDFS ,16-Core Naïve MC_NDFS ,MC_GC_NDFS,MC_AR_NDFS,MC_RS_NDFS,NC_NEW_NDFS
FALSE,69.2,78.6,73.8,37.8,75.8,38
FALSE,102,114,114.2,58.4,112.4,55.4
FALSE,532.8,595.8,596.4,291,605.2,299
FALSE,388,439,449.4,214.2,445.8,219.8
FALSE,439,497.8,514,242.8,501.8,248.4
FALSE,171,194.6,189.2,93.8,193.4,95.8
FALSE,626.4,710.6,712.8,348,724.4,356.6
FALSE,591.4,669,740.8,325.8,680.4,333.8
FALSE,85.2,97.2,92.4,46.6,94.8,47
FALSE,394.2,443.8,442.8,216.2,449.6,222.4
FALSE,106.2,120.2,115.8,57.2,118.4,59.8
FALSE,12.2,13.8,10,5.4,10.8,5.6
FALSE,705.2,795.2,809.8,388,808.2,400.4
FALSE,687.2,770,774.2,376,786.4,387.2
FALSE,490.8,554.6,551.2,271,563.4,277.2
FALSE,507.8,567.4,572,278.4,574.4,284.2
FALSE,36.8,42,38,19.2,38.8,19.4
FALSE,470.6,532,530,260,539.6,266.2
FALSE,509.6,572.2,567,280.4,580.8,285.6
FALSE,416.4,465.8,487.2,227.6,471.2,230.2
FALSE,603.6,681.2,674.4,332.8,691,341.6
FALSE,620.2,701.6,697.6,343.4,710.4,350.6
FALSE,115,130,130.6,62,130.4,64
FALSE,558.6,623.2,620.4,305,631.8,312.8
FALSE,261.2,296,290.8,145.2,298,147.2
FALSE,667.4,750,746.4,369.6,760.2,375.6
FALSE,722.2,813.2,809.4,397.6,824.2,408.8
FALSE,166.6,186.8,183.4,90.6,186.8,92.4
FALSE,48,55.2,50.4,24.8,52.8,25.4
FALSE,59.4,65.8,62,30.6,62.8,31.8
FALSE,299,333.8,330.4,162.8,339.2,167
FALSE,586.6,661.2,676.4,326.8,671,330.2
FALSE,582.6,658,655.8,323,671.2,330.6
FALSE,401.2,452.6,447.8,221.4,459.2,226.6
FALSE,322.2,363.8,381.8,176.6,367.2,180
FALSE,554.4,626.8,628,306.2,637.2,314.6
FALSE,443.6,499.8,496.2,243.8,507.4,250.6
FALSE,446.2,502.2,516.8,245.2,508.8,251.2
FALSE,611.2,694.4,691,340,702.8,346.6
FALSE,41.8,47.6,49.4,21.6,45.2,22.2
FALSE,531.4,603.8,597.8,294,614.2,302.4
FALSE,529.8,599.2,598.2,294,611.4,300.8
FALSE,557.2,621.2,613.8,302.2,629.2,309.8
FALSE,379,426,420.6,207.4,430.6,212.4
FALSE,669.4,757.2,752.4,370.6,773.8,379.8
FALSE,332.6,376.6,392.4,182.8,381.6,188.4
FALSE,633.2,712.2,713,347.2,720.8,357
FALSE,321.4,356.8,352.8,173.6,362.6,178
FALSE,706.2,798.8,808.6,392.4,810,399.2
FALSE,637.8,721.2,721.2,351,729.8,362.2
FALSE,264.2,300.8,294.2,145.4,301.6,149.4
FALSE,680,768.2,774.4,377,784.6,386
FALSE,375.4,422.4,418.8,207.8,427.2,212.2
FALSE,379.2,429.2,425.2,208.4,434,214.6
FALSE,361,398.8,408.2,193.2,405,197.4
FALSE,781.6,876,879.4,428.2,887.2,438
FALSE,82.8,93.4,88.6,46.2,90.4,45.2
FALSE,96.4,106,123.6,50.8,104.6,51.8
FALSE,380,431.4,424.8,208.4,433.2,214
FALSE,704.8,791.4,842,385.6,802.4,396.4
FALSE,259.2,284.8,299,138.6,287,142.4
FALSE,247.4,277.8,287.8,136.2,280,138.4
FALSE,52,60,59,27.4,55.8,28.2
FALSE,190.8,205.6,206,99,205.8,102.2
FALSE,490.4,552.6,571.8,270.6,561.8,277.6
FALSE,619.4,702.2,707.2,342.2,713.4,351.8
FALSE,113,130.4,155.2,61,126.4,63
FALSE,552.8,625.8,625.6,304.4,634.8,314
FALSE,118.4,134.8,131.4,64.2,133.2,66.2
FALSE,92.6,104.2,100.4,50.6,102.4,50.6
FALSE,566.8,640.4,646.4,311.8,650.4,320.8
FALSE,76.2,86.8,85.8,40,82.8,41.2
FALSE,560.6,633,630.6,309,642.8,318.8
FALSE,36.4,38.6,37.8,17.6,37,18
FALSE,80.8,92.6,87,43,88.8,44.6
FALSE,732.8,826.8,824.4,405.4,841,415.8
FALSE,638.6,730,722.6,353.2,738.6,362.6
FALSE,655.6,741,753.8,359.2,746.8,368
FALSE,263.8,296.4,323.8,144.4,299,148.4
FALSE,652.6,739,736.4,360.4,749.4,369.6
FALSE,469.8,519,542,253,527.4,260.8
FALSE,135,150,145.6,71.6,147.8,73.6
FALSE,506,570.6,566,278.8,577.2,285.8
FALSE,545.8,614.4,609.8,299.8,622.6,309.6
FALSE,724.4,812,911.8,397.4,824.6,409.8
FALSE,575,647,645.2,316.6,658.2,324.8
FALSE,124.6,141.4,142.2,69.2,139.4,69.6
FALSE,109.8,126.2,121.2,60,123.6,62
FALSE,563.8,635.4,634,311.8,645.8,319.2
FALSE,92.8,104.4,100.4,50.2,102.2,51.2
FALSE,449,499,493.4,243,505.2,248.4
FALSE,529.6,601.4,604.2,293,608.8,300.6
FALSE,4.4,6.4,2.4,2.2,2.2,1.2
FALSE,787.8,889,920.4,435.4,904.6,445
FALSE,686.8,765.8,790.8,373.4,778.6,384.2
FALSE,188.6,213.6,209.4,103.2,213.4,107
FALSE,28.2,26.8,23,11.8,25.6,12.2
FALSE,370.2,418.8,416,202.2,420.8,213.6
FALSE,32.6,36.4,33.2,17.2,33.2,16.8
FALSE,785.4,899.6,931.2,435,906.4,448
FALSE,39.8,39.6,51.6,20.6,35.6,28.2
FALSE,255,283.2,283.8,139.8,267.4,139.6
FALSE,92.4,100.4,116.4,51,94,50.8
FALSE,38.8,41.8,41,20.8,38.2,21.4
FALSE,633,715.4,726.8,364.2,683.6,351.8
FALSE,70.8,77,87.8,38.8,72.2,38.2
FALSE,474.8,527.2,536.2,269.4,503.6,262.6
FALSE,5.6,6.4,9,2.4,3.6,2.4
FALSE,522,577.6,563,294.6,547.2,286.2
FALSE,762.8,846.4,867.4,427.8,809,417.2
FALSE,101,112.2,129.2,57.6,107.8,56
FALSE,402.4,452.2,434.6,229.4,429.8,222.2
FALSE,525.2,572.4,609.4,293.2,547.6,284
FALSE,425.6,477.2,461.6,242.6,455.2,236
FALSE,53.6,60.8,61,30,55.4,29.2
FALSE,596,661.4,637.2,338.8,630,325
FALSE,695.4,786.2,777.6,401.2,752.8,389.6
FALSE,66.4,73,69.2,36.4,67,35.4
FALSE,387.2,433.2,444.2,217.8,412.2,212.4
FALSE,305.8,347,337.2,176.8,329.2,170.8
FALSE,469.2,525.2,507,270,502.8,259.8
FALSE,41.2,38,35,18.6,34,18.4
FALSE,594,669.2,645.2,341.4,639.6,330.2
FALSE,90.4,100.6,96,50.4,93.6,49.4
FALSE,236.4,261,252.2,133.2,248.8,126.4
FALSE,397.8,444.2,435.6,226.8,425.2,220.6
FALSE,120.4,136.6,130.6,69,127.8,67
FALSE,90,101.2,99.6,51,93.6,49.4
FALSE,467.8,522,508.4,268.6,501.6,258.2
FALSE,119,133,128.4,67.8,125.6,66
FALSE,112.6,124.6,142.4,63.4,116.8,61.6
FALSE,457,522.8,556,265.8,518.4,267.6
FALSE,6.4,7.2,6.2,2.6,4.2,2.8
FALSE,723.4,821.6,844.4,425.8,827.8,425.8
FALSE,497.4,543,569.8,281.2,546.8,281.8
FALSE,47.6,53.6,59,27.6,50.6,28.2
FALSE,606.6,684.4,695.2,354.6,690.6,356.2
FALSE,460.2,512,544.4,264.2,513.8,265.4
FALSE,42.8,47.6,47.2,24.2,46.4,24
FALSE,730.6,817.2,834,425.2,825.4,424.6
FALSE,292.8,317.8,335.4,164.8,316.6,164.6
FALSE,20.6,23.4,21,10.8,20,11
FALSE,697.8,784.4,836,409.6,794.2,411.4
FALSE,157.4,181.2,179.8,92,177.6,92.6
FALSE,297.8,334.8,339.2,174.4,336.2,173.8
FALSE,691.6,779,800,404.8,790.2,400.6
FALSE,9.2,10.4,8.6,4.2,7.6,5.4
FALSE,412.2,464.8,547.4,245.4,469.2,242.6
FALSE,292.6,318.2,347.2,167.8,322,166.8
FALSE,5.4,5.8,3.4,2,3,1.8
FALSE,262.2,285.4,318.6,151,291,150.2
FALSE,479.6,536.2,562.2,283,543.4,280.6
FALSE,63.4,71.6,76.4,36.8,69.2,36.2
FALSE,418,473,494.8,251.2,479.6,247.6
FALSE,193.4,218.4,229.8,114.6,218.6,113.8
FALSE,521.2,584.2,625.8,308.8,592.2,304.6
FALSE,27.2,29.2,34.4,14.8,27.8,15.2
FALSE,723.6,820.2,904.8,431,823.8,428.8
FALSE,330.8,372.4,389.8,196.2,372.8,194.4
FALSE,94.8,107.2,115.6,55.6,106.2,55.8
FALSE,16.8,19,19,8.8,16,8.8
FALSE,732.4,815.6,864.8,428.8,825.8,425.8
FALSE,664.4,743,771.4,393.8,756.4,387
FALSE,51.2,59,69,29.8,56,29.4
FALSE,611.2,691,718.2,364.2,700.2,362.8
FALSE,417.4,473.6,491.4,249,478.6,248
FALSE,454.4,494.6,522.8,262,503.8,261
FALSE,514.8,567.8,598.2,299.6,575.4,290.8
FALSE,634.6,712.2,748,374.2,723,368.8
FALSE,13.6,15.8,13.2,6.4,12.2,7.8
FALSE,500.2,569.8,588.8,299,576.2,297.4
